CAISNID,CAL,TPL,SIO3L,DOCL,PH,INVERT,DEPTHL,AREAL,BYTHO,BYTHO_PA
05-289,0.563481085,1.056904851,-0.017728767,0.785329835,6.67,1,1.079181246,1.162762938,0,0
05-293,0.485721426,0.924279286,0.209515015,0.857332496,6.85,6,1.29666519,2.095413276,0,0
05-303,0.459392488,1.093421685,0.100370545,0.919078092,6.47,4,0.62324929,0.981553547,0,0
05-335,0.350248018,1.086359831,-0.119186408,0.716003344,6.35,3,1,1.206524989,0,0
06-001,0.334453751,1,0.31386722,0.612783857,7.07,3,1.230448921,2.173367987,0.004150835,1
06-002,0.365487985,0.832508913,-0.494850022,0.662757832,6.5,3,0.977723605,2.195007236,0,0
06-003,0.499687083,0.86923172,0.093421685,0.806179974,6.15,1,1.089905111,1.958584462,0,0
06-004,0.361727836,0.832508913,-0.318758763,0.612783857,6.81,3,0.826074803,1.871056197,0,0
06-005,0.376576957,1.086359831,-1,0.875061263,6.47,2,0.949390007,1.923840547,0,0
06-006,0.465382851,1.617000341,-0.142667504,0.934498451,6.72,0,0.602059991,1.722725609,0,0
06-007,0.404833717,0.643452676,-1,0.591064607,6.46,6,1.28780173,1.992851194,0,0
06-008,0.354108439,0.748188027,-0.522878745,0.785329835,6.52,0,0.785329835,1.308439506,0,0
06-010,0.462397998,0.903089987,-0.522878745,0.591064607,6.93,3,0.716003344,1.769738402,0,0
06-011,0.318063335,0.602059991,-0.468521083,0.531478917,6.81,2,1.53529412,2.02597051,0,0
06-012,0.850033258,1.338456494,-0.795880017,0.763427994,6.89,6,0.602059991,1.357301979,0,0
06-013,0.733999287,1.176091259,-1,0.785329835,7.21,6,0.716003344,1.796976174,0,0
06-014,0.846337112,0.763427994,-0.443697499,0.770852012,7.35,0,1.096910013,1.405823463,0.000599002,1
06-015,0.645422269,1.462397998,0.079181246,1.071882007,6.55,2,0.903089987,2.065398362,0,0
06-016,0.444044796,0.792391689,-0.055517328,0.681241237,6.43,0,0.838849091,1.961056394,0.007518354,1
06-017,0.245512668,0.963787827,-0.522878745,0.662757832,6.03,0,0.924279286,1.271515162,0,0
06-019,0.380211242,1.334453751,-1,0.770852012,6.51,4,1.146128036,1.739563226,0,0
06-020,0.346352974,1.056904851,-0.37675071,0.826074803,5.92,0,1.152288344,1.345256973,0,0
06-022,0.225309282,0.973127854,-1,0.62324929,6.46,0,0.544068044,1.063526666,0,0
06-023,0.588831726,1.041392685,-0.180456064,0.662757832,7.39,0,0.785329835,2.04844314,0,0
06-024,0.269512944,0.763427994,-1,0.73239376,5.81,0,0.973127854,0.800287356,0,0
06-025,0.376576957,0.748188027,-0.853871964,0.544068044,6.62,1,1.396199347,2.035870019,0.002357379,1
06-026,0.46834733,0.819543936,0.158362492,0.875061263,6.31,2,0.84509804,1.993002365,0,0
06-027,0.645422269,0.662757832,-0.795880017,0.568201724,6.37,0,1.380211242,1.980073815,0.001830614,1
06-028,0.494154594,0.602059991,-1,0.431363764,7.12,3,1.222716471,1.965845877,0.000228625,1
06-029,0.883093359,1.086359831,-0.15490196,0.986771734,6.59,3,0.716003344,1.07746236,0,0
06-030,0.434568904,1.025305865,-0.119186408,0.968482949,5.68,3,0.886490725,1.570279,0,0
06-031,0.477121255,0.477121255,-1,0.544068044,6.6,0,1.195899652,1.785180682,0,0
06-032,0.843855423,0.792391689,-1,0.748188027,6.59,0,0.633468456,1.185937154,0,0
06-033,0.397940009,0.477121255,-0.698970004,0.591064607,6.26,1,1.411619706,1.596989447,0,0
06-034,0.819543936,1.255272505,-0.356547324,0.875061263,7.25,1,0.491361694,1.506554473,0,0
06-036,0.230448921,0.792391689,-0.045757491,0.579783597,7.12,0,1.322219295,2.098675746,0.005841312,1
06-037,0.505149978,0.86923172,0.187520721,0.792391689,6.55,2,0.977723605,1.273745353,0,0
06-038,0.260071388,0.556302501,-0.853871964,0.505149978,6.84,0,1.33243846,2.136431364,0.001588288,1
06-039,0.354108439,1.31386722,-0.065501549,0.612783857,6.34,1,0.612783857,0.943524151,0,0
06-040,0.471291711,0.819543936,-0.096910013,0.662757832,6.82,3,1.255272505,1.754279537,0,0
06-041,0.372912003,0.414973348,0.152288344,0.672097858,6.37,1,1.436162647,2.356658815,0,0
06-042,0.357934847,0.963787827,0.093421685,0.633468456,6.8,6,1.041392685,1.354653886,0,0
06-044,1.206825876,0.748188027,-0.744727495,0.748188027,7.14,0,1.130333768,1.255830602,0.000341086,1
06-045,0.369215857,0.698970004,-0.086186148,0.662757832,6.12,0,1.416640507,2.425338189,0,0
06-046,0.357934847,0.643452676,-0.045757491,0.662757832,5.34,1,1.103803721,1.870383389,0,0
06-047,0.418301291,0.73239376,0.204119983,0.826074803,7.17,2,1.11058971,1.46101737,0,0
06-048,0.342422681,1.152288344,0.017033339,0.982271233,6.31,3,0.826074803,1.308519123,0,0
06-049,0.485721426,0.963787827,-0.22184875,0.602059991,7.2,5,1.225309282,1.837235753,0,0
06-050,0.365487985,0.698970004,-0.096910013,0.69019608,5.35,0,1.079181246,1.234377783,0,0
06-051,0.365487985,0.62324929,-0.045757491,0.69019608,5.31,2,1.324282455,1.521222003,0,0
06-052,0.372912003,0.477121255,-0.397940009,0.612783857,6.21,0,1.307496038,1.298651629,0,0
06-053,0.357934847,0.963787827,0.071882007,0.949390007,6.1,0,1.071882007,2.172966948,0,0
06-054,0.350248018,-0.22184875,0.049218023,0.397940009,6.76,6,1.607455023,1.506153748,0,0
06-055,0.376576957,0.716003344,-1,0.462397998,6.54,5,1.463892989,2.055925223,0,0
06-056,0.471291711,0.84509804,-0.13076828,0.556302501,7.07,2,1.380211242,1.292065366,0,0
06-057,0.342422681,0.698970004,-0.142667504,0.707570176,6.05,7,1.041392685,2.00885666,0,0
06-058,0.387389826,1.064457989,-0.26760624,0.908485019,6.59,0,0.681241237,1.097420316,0,0
06-059,0.357934847,0.62324929,-0.301029996,0.69019608,6.2,0,0.929418926,1.027099779,0,0
06-060,0.342422681,1.041392685,0.041392685,0.963787827,6.31,3,1.390935107,2.398655125,0,0
06-061,0.240549248,0.763427994,-0.657577319,0.681241237,5.97,1,1.350248018,1.964893415,0,0
06-064,0.086359831,0.643452676,-0.22184875,0.662757832,5.58,4,1.187520721,2.285161195,0,0
06-065,0.301029996,0.963787827,0.158362492,0.72427587,6.72,0,1.437750563,2.182465428,0.00311174,1
06-066,0.357934847,0.982271233,-0.853871964,0.462397998,7.01,6,1.217483944,1.449033068,0,0
06-067,0.230448921,0.662757832,-0.920818754,0.62324929,6.62,2,0.716003344,1.707888167,0,0
06-068,0.346352974,1.041392685,-0.251811973,0.977723605,6.21,2,0.799340549,1.32285785,0,0
06-070,0.28780173,1.164352856,-0.22184875,0.908485019,5.06,0,0.86332286,0.650977079,0,0
06-073,0.338456494,1.008600172,-0.853871964,0.672097858,6.49,4,0.913813852,1.059027357,0,0
06-075,0.198657087,1.033423755,-0.420216403,0.799340549,5.84,0,0.86923172,0.56576505,0,0
06-076,0.858537198,0.86923172,-0.494850022,0.84509804,6.92,0,0.819543936,1.461268903,0,0
06-077,0.767897616,1.568201724,0.561101384,0.924279286,6.3,0,0.662757832,1.332655538,0,0
06-078,0.494154594,1.245512668,-0.420216403,1.075546961,5.79,6,0.812913357,1.251197543,0,0
06-079,0.278753601,0.748188027,-0.920818754,0.505149978,5.81,5,0.908485019,2.121888413,0,0
06-080,0.369215857,1.008600172,-0.301029996,0.929418926,6.08,0,0.414973348,0.874945393,0,0
06-081,0.28780173,0.77815125,-0.045757491,0.785329835,5.85,1,1.389166084,1.531956801,0,0
06-082,0.214843848,0.681241237,-0.26760624,0.462397998,6.69,0,1.161368002,2.172311122,0.001646423,1
06-083,0.474216264,0.934498451,-0.167491087,0.477121255,6.5,0,0.929418926,1.916874621,0.005198322,1
06-085,0.264817823,0.748188027,-1,0.740362689,6.32,4,1.029383778,1.152601746,0,0
06-086,0.558708571,0.954242509,-1,0.544068044,7.09,6,0.612783857,1.126258141,0,0
06-087,0.387389826,1.214843848,-0.207608311,0.857332496,5.9,0,0.62324929,1.174993959,0,0
06-090,0.170261715,1.220108088,-1,0.568201724,5.98,5,0.591064607,1.304677904,0,0
06-092,0.158362492,0.531478917,-0.657577319,0.716003344,5.47,0,0.897627091,0.860179367,0,0
06-093,0.444044796,0.819543936,-0.698970004,0.69019608,6.59,0,0.806179974,1.113279696,0,0
06-095,0.240549248,0.857332496,-0.744727495,0.698970004,5.91,2,0.531478917,1.533639858,0,0
06-096,0.377917913,1.305351369,0.220108088,0.838849091,6.49,6,0.653212514,1.055435753,0,0
06-097,0.387389826,0.698970004,-0.167491087,0.740362689,6.18,4,1.301029996,1.517620728,0,0
06-098,0.666517981,0.963787827,0.365487985,0.812913357,5.87,0,1.004321374,1.616201783,0,0
06-099,0.260071388,0.892094603,-0.494850022,0.643452676,6.3,1,1.217483944,1.138140049,0,0
06-100,0.899820502,1.093421685,-0.698970004,0.361727836,6.65,0,0.568201724,1.211923819,0,0
06-102,0.133538908,0.792391689,-1,0.643452676,5.89,6,0.886490725,0.535591618,0,0
06-103,0.245512668,0.301029996,-0.193820026,0.380211242,6.52,7,1.743509765,2.052338175,0,0
06-104,0.278753601,0.447158031,-0.744727495,0.397940009,5.66,1,0.924279286,1.056752499,0,0
06-105,0.193124598,0.556302501,-0.619788758,0.447158031,6.25,8,1.432969291,2.151431856,0,0
06-106,0.181843588,0.301029996,-0.552841969,0.477121255,5.96,6,1.049218023,1.086944781,0,0
06-107,0.408239965,0.892094603,0.146128036,0.819543936,6.3,10,1.257678575,1.111899161,0,0
06-108,0.187520721,0.86923172,-0.283996656,0.755874856,5.35,6,0.763427994,1.076678714,0,0
06-109,0.025305865,0.934498451,-1,0.612783857,5.98,6,0.491361694,0.995005178,0,0
06-110,0.575187845,0.62324929,-0.585026652,0.505149978,6.49,1,0.602059991,0.9888376,0,0
06-111,0.338456494,1.056904851,-1,0.662757832,6.78,2,0.397940009,1.076325398,0,0
06-113,0.176091259,0.602059991,0.086359831,0.662757832,5.78,7,1.064457989,0.927154742,0,0
06-116,0.292256071,0.255272505,0.025305865,0.477121255,6.58,11,1.301029996,2.238017741,0,0
06-118,0.28780173,1.240549248,-0.318758763,0.799340549,6.1,1,0.851258349,0.409924561,0,0
06-119,0.086359831,0.934498451,-0.552841969,0.84509804,5.76,2,0.397940009,1.329232075,0,0
06-120,0.187520721,0.84509804,-0.008773924,0.832508913,5.3,4,0.770852012,0.575891952,0,0
06-121,0.354108439,0.698970004,-0.443697499,0.643452676,6.23,12,1.51054501,2.990688239,0,0
06-122,0.434568904,1.079181246,-0.107905397,0.69019608,5.96,9,0.86332286,1.41159944,0,0
06-123,0.292256071,0.77815125,-0.193820026,0.716003344,6.23,5,1.225309282,1.698846698,0,0
06-124,0.369215857,1.146128036,0.139879086,0.851258349,6.17,6,0.959041392,1.050147632,0,0
06-125,0.240549248,0.556302501,-0.251811973,0.447158031,6.66,7,1.489958479,2.296593065,0,0
06-126,0.305351369,1.387389826,0.100370545,0.963787827,5.92,2,0.579783597,0.799681563,0,0
06-127,0.093421685,0.77815125,-0.251811973,0.716003344,4.94,7,1.021189299,1.481173793,0,0
06-128,0.376576957,0.806179974,-0.619788758,0.763427994,6.4,5,1.298853076,1.276377859,0.000336768,1
06-129,0.220108088,1.225309282,-0.107905397,0.832508913,6.44,6,0.477121255,1.075530628,0,0
06-131,0.505149978,0.913813852,-1,0.72427587,6.18,6,1,1.950990753,0,0
06-132,0.204119983,1.139879086,-0.026872146,0.963787827,5.63,9,0.939519253,1.399467842,0,0
06-133,0.158362492,1.071882007,-0.055517328,0.897627091,5.47,1,0.653212514,1.218286106,0,0
06-134,0.28780173,0.857332496,-1,0.740362689,6.34,12,1.117271296,2.333827475,0,0
06-135,0.29666519,0.819543936,-0.494850022,0.397940009,6.14,8,1.113943352,1.822560301,0,0
06-136,0.164352856,1.017033339,-0.853871964,0.414973348,5.29,8,1.008600172,1.132730119,0,0
06-137,0.209515015,0.73239376,-0.397940009,0.591064607,6.38,7,0.785329835,1.464788009,0,0
06-138,0.649334859,0.748188027,-1,0.431363764,6.41,10,1.396199347,1.805970242,0,0
06-139,0.278753601,0.819543936,0,0.826074803,6.08,5,0.812913357,1.220973195,0,0
06-140,0.187520721,0.792391689,-0.853871964,0.591064607,6.03,9,0.740362689,1.298060188,0,0
06-141,0.264817823,0.934498451,0.260071388,0.806179974,6.3,9,1.336459734,1.190094949,0,0
06-142,0.176091259,0.84509804,-0.207608311,0.51851394,6.06,1,0.875061263,2.20372798,0,0
06-143,0.342422681,0.698970004,-0.356547324,0.698970004,6.2,6,1.383815366,2.150752497,0,0
06-144,0.301029996,0.662757832,-0.086186148,0.770852012,6.21,7,1.285557309,2.004472018,0,0
06-145,0.158362492,0.763427994,-0.920818754,0.568201724,5.54,3,0.939519253,0.797859366,0,0
06-147,0.586587305,1.250420002,0.214843848,0.880813592,6.46,6,0.785329835,0.394451784,0,0
06-148,0.28780173,0.748188027,-0.337242168,0.716003344,6.07,4,1.243038049,2.082889972,0,0
06-149,0.220108088,0.924279286,-0.337242168,0.770852012,6.02,5,0.77815125,1.422156295,0,0
06-150,0.553883027,0.73239376,-0.744727495,0.255272505,7.13,8,1.190331698,1.422303438,0,0
06-152,0.278753601,1.309630167,0.181843588,1.025305865,5.79,5,0.748188027,0.620573111,0,0
06-153,0.198657087,0.662757832,-0.045757491,0.568201724,5.07,10,1.685741739,2.625909393,0,0
06-154,0.230448921,0.792391689,-0.107905397,0.612783857,5.83,1,1.330413773,1.880590769,0,0
06-156,0.404833717,1.017033339,-0.119186408,0.838849091,6.59,2,0.643452676,1.635714151,0,0
06-158,0.230448921,0.681241237,-0.096910013,0.591064607,6.07,11,1.342422681,2.245070886,0,0
06-159,0.45331834,0.806179974,0.017033339,0.698970004,6.27,4,0.963787827,2.143584626,0,0
06-160,0.193124598,0.447158031,-0.795880017,0.477121255,6.02,11,1.450249108,2.107894109,0,0
06-162,0.428134794,0.944482672,-0.236572006,0.380211242,6.94,6,1.086359831,0.953312532,0,0
06-163,0.418301291,0.662757832,-0.337242168,0.579783597,6.36,5,1.181843588,1.598735311,0,0
06-164,0.338456494,0.531478917,-0.15490196,0.643452676,6.15,7,1.728353782,2.813911181,0,0
06-165,0.204119983,1.041392685,0.133538908,0.968482949,5.66,4,0.908485019,1.427659705,0,0
06-166,0.394451681,1.086359831,-0.13076828,0.851258349,6.42,3,0.556302501,0.776228887,0,0
06-168,0.322219295,0.698970004,-0.251811973,0.556302501,6.01,6,1.08278537,2.162639319,0,0
06-170,0.342422681,0.991226076,0.330413773,0.892094603,6.13,5,0.806179974,0.488987397,0,0
06-171,0.008600172,1.164352856,-0.920818754,0.968482949,5.36,6,0.397940009,0.45085699,0,0
06-172,0.158362492,0.73239376,-0.017728767,0.662757832,5.84,5,1.146128036,2.079679589,0,0
06-173,0.198657087,1.318063335,-0.301029996,0.968482949,6.07,0,-0.096910013,0.852022206,0,0
06-174,0.719331287,0.447158031,-0.301029996,0.556302501,6.53,9,0.991226076,1.263298796,0,0
06-175,0.612783857,0.892094603,0.025305865,0.591064607,6.79,8,1.318063335,2.564555953,0.000681497,1
06-176,0.561101384,1.025305865,-0.301029996,0.681241237,7.04,6,0.531478917,1.370899671,0,0
06-177,0.322219295,0.531478917,-0.318758763,0.477121255,6.89,8,1.501059262,1.909048697,0,0
06-178,0.255272505,0.62324929,-0.167491087,0.77815125,6.41,6,0.851258349,1.353047291,0,0
06-179,0.278753601,0.84509804,-0.13076828,0.633468456,6.19,5,0.934498451,0.877725458,0,0
06-180,0.100370545,1.041392685,-0.619788758,0.672097858,6.23,1,0.568201724,1.02045471,0,0
06-182,0.240549248,0.973127854,-0.251811973,0.77815125,5.87,8,1.318063335,2.29197914,0,0
06-183,0.181843588,0.913813852,-0.318758763,0.643452676,6.46,10,1.243038049,1.527950725,0,0
06-184,0.017033339,0.924279286,-0.920818754,0.662757832,4.9,5,1.170261715,1.224150933,0,0
06-185,0.414973348,0.832508913,-0.15490196,0.591064607,6.47,6,1.419955748,2.712570187,0.000401711,1
06-186,1.184691431,0.77815125,-0.356547324,0.770852012,6.92,0,0.633468456,0.918798177,0,0
06-187,0.292256071,0.913813852,-0.337242168,0.826074803,6.21,4,1.146128036,0.601864649,0,0
06-189,0.437750563,0.819543936,0.127104798,0.857332496,6.39,4,0.954242509,2.082683968,0,0
06-190,0.278753601,0.662757832,-0.443697499,0.568201724,6.71,6,0.86332286,1.296732076,0,0
06-192,0.29666519,1.025305865,-0.522878745,0.851258349,5.85,6,0.977723605,0.648398896,0,0
06-193,0.041392685,1.625312451,-0.356547324,1.049218023,5.54,4,0,0.498413834,0,0
06-194,0.357934847,1.181843588,-1,0.86332286,5.91,6,1.167317335,0.741375732,0,0
06-195,0.139879086,0.748188027,-0.552841969,0.763427994,6.35,5,0.681241237,0.636106694,0,0
06-196,0.471291711,0.903089987,-0.443697499,0.838849091,6.69,5,1.149219113,0.924563586,0,0
06-197,0.220108088,0.973127854,-0.026872146,0.681241237,6.16,5,0.892094603,0.990587642,0,0
06-198,0.431363764,0.77815125,0.176091259,0.681241237,6.52,5,1.243038049,2.189037824,0,0
06-199,0.480006943,0.84509804,0.250420002,0.591064607,6.64,4,1.071882007,1.267691403,0,0
06-200,0.204119983,1.071882007,-0.585026652,1.120573931,4.95,7,1.133538908,2.373974534,0,0
06-201,0.357934847,0.892094603,-0.552841969,0.591064607,6.13,8,1.029383778,1.523671643,0.000471476,1
06-202,0.346352974,0.86923172,-0.337242168,0.748188027,6.25,8,1.439332694,2.421678618,0,0
06-203,1.120573931,0.819543936,-0.22184875,0.748188027,7.26,1,0.69019608,0.79160649,0,0
06-204,0.274157849,1.230448921,-1,0.748188027,6.06,0,0.716003344,0.864766026,0,0
06-205,0.342422681,1.450249108,-0.283996656,1.037426498,5.72,0,0.462397998,1.199534403,0,0
06-206,0.846337112,0.903089987,-1,0.832508913,6.51,3,0.462397998,0.949143542,0,0
06-207,0.187520721,0.944482672,-1,0.544068044,5.91,4,1.184691431,0.84477516,0,0
06-208,0.120573931,0.579783597,0.064457989,0.799340549,5.17,9,0.934498451,1.205240931,0,0
06-209,0.387389826,0.982271233,-0.13076828,0.851258349,6.12,10,1.167317335,2.44858009,0,0
06-210,0.664641976,1.365487985,-0.017728767,0.963787827,6.27,7,0.755874856,1.52950157,0,0
06-211,0.31386722,0.531478917,-0.397940009,0.763427994,5.94,4,1.276461804,0.976088482,0,0
06-212,0.421603927,1.255272505,-0.853871964,0.838849091,6.33,2,0.77815125,2.182250651,0,0
06-213,0.176091259,0.681241237,-0.585026652,0.51851394,6.03,6,0.913813852,1.041092426,0,0
06-214,0.301029996,1.041392685,-0.744727495,0.770852012,6.53,5,0.447158031,1.169042991,0,0
06-215,0.629409599,0.913813852,0.164352856,0.886490725,6.34,6,0.832508913,1.235746773,0,0
06-216,0.330413773,0.505149978,0.033423755,0.69019608,6.2,5,1.439332694,1.957029211,0,0
06-217,0.283301229,0.954242509,-0.22184875,0.698970004,6.23,5,0.698970004,1.748997305,0,0
06-219,0.041392685,0.84509804,-0.251811973,0.806179974,4.83,6,0.255272505,1.044718164,0,0
06-221,0.459392488,1.10720997,-0.107905397,0.73239376,6.19,10,0.875061263,1.664062084,0,0
06-222,0.133538908,1.033423755,-0.26760624,0.799340549,5.8,6,1.10720997,1.222587819,0,0
06-223,0.491361694,1.424881637,0.041392685,1.053078443,5.91,7,0.763427994,1.551894463,0,0
06-224,0.326335861,1.041392685,-0.283996656,0.681241237,6.25,2,0.897627091,1.969683653,0,0
06-225,0.781036939,0.716003344,-1,0.633468456,6.21,10,0.886490725,1.355367174,0,0
06-226,0.536558443,1.274157849,-0.283996656,0.832508913,6.58,10,1.133538908,1.057249254,0,0
06-227,0.414973348,0.792391689,-0.301029996,0.681241237,6.92,7,1.071882007,1.164874619,0,0
06-228,0.334453751,1.278753601,-0.055517328,1.056904851,5.81,9,0.832508913,2.083801567,0,0
06-229,0.372912003,0.924279286,-0.337242168,0.763427994,6.16,5,0.924279286,1.645899089,0,0
06-230,0.170261715,1.064457989,-0.142667504,0.880813592,5.67,5,1.041392685,1.339803163,0,0
06-231,0.158362492,1,-0.698970004,0.880813592,5.34,4,0.959041392,0.775049783,0,0
06-232,0.245512668,1.29666519,0.041392685,0.84509804,5.64,5,1.274157849,2.120438347,0,0
06-233,0.10720997,0.556302501,-1,0.447158031,4.97,3,0.832508913,0.51651529,0,0
06-234,0.209515015,1.113943352,-0.180456064,0.826074803,5.81,3,1.167317335,0.663898706,0,0
06-235,0.146128036,0.892094603,-0.397940009,0.785329835,5.57,1,0.716003344,1.367676397,0,0
06-236,0.414973348,1.139879086,-0.37675071,0.963787827,6.28,5,0.857332496,2.103531592,0,0
06-237,0.401400541,1.365487985,-0.193820026,0.880813592,5.75,5,0.69019608,0.272966446,0,0
06-240,0.164352856,1.056904851,-0.236572006,0.73239376,5.81,5,1.100370545,0.217641895,0,0
06-241,0.093421685,0.748188027,-0.397940009,0.612783857,5.67,4,1.305351369,1.0706177,0,0
06-242,0.354108439,0.681241237,-0.301029996,0.531478917,6.29,4,0.832508913,0.600308294,0,0
06-243,0.230448921,0.414973348,-0.017728767,0.556302501,6.11,5,1.230448921,1.254817391,0,0
06-244,0.193124598,1.170261715,-0.086186148,0.903089987,5.16,6,1.209515015,1.432745668,0,0
06-245,0.788168371,1.064457989,-1,0.556302501,8.03,5,1.149219113,1.730397435,0,0
06-246,0.29666519,0.924279286,-0.698970004,0.716003344,5.83,7,1.227886705,0.919833797,0,0
06-247,0.361727836,1.274157849,-0.13076828,1.31386722,5.12,3,0.491361694,0.819086416,0,0
06-248,0.488550717,1.354108439,0.041392685,0.86332286,6.11,3,0.838849091,1.663046102,0,0
06-249,0.305351369,0.748188027,-0.119186408,0.707570176,5.93,6,1.477121255,2.523962163,0,0
06-250,0.773786445,0.643452676,-0.026872146,0.72427587,6.44,0,1.096910013,1.824357577,0.008668044,1
06-252,0.641474111,0.62324929,-0.397940009,0.505149978,6.26,11,1.790285164,2.720574721,0,0
06-253,0.139879086,1.31386722,-0.036212173,0.944482672,5.62,3,0.041392685,0.025633078,0,0
06-254,0.584331224,0.62324929,-0.698970004,0.69019608,6.32,6,0.832508913,1.333198217,0,0
06-256,0.235528447,1.305351369,-0.26760624,0.944482672,6,0,-0.15490196,0.459709353,0,0
06-257,0.274157849,1.269512944,-1,1.089905111,5.28,1,0.342422681,1.047950241,0,0
06-258,0.523746467,0.662757832,-1,0.361727836,7.2,4,1.103803721,2.327017286,0,0
06-259,0.465382851,0.973127854,0.278753601,0.991226076,6.26,4,0.838849091,1.113777924,0,0
06-260,0.414973348,0.982271233,-0.251811973,0.86332286,6.2,5,1,1.23081782,0,0
06-261,0.225309282,0.73239376,-0.522878745,0.880813592,6.14,6,1.053078443,1.710087777,0,0
06-262,0.240549248,0.716003344,-0.552841969,0.748188027,5.9,7,1.243038049,0.982971752,0,0
06-263,0.176091259,0.832508913,-0.494850022,0.812913357,5.71,9,1.149219113,1.277711293,0,0
06-264,0.00001,0.982271233,-0.420216403,1.08278537,5.01,4,0.949390007,0.956415909,0,0
06-266,0.521138084,0.892094603,-0.301029996,0.908485019,6.4,10,0.740362689,1.604398338,0,0
06-267,0.411619706,0.602059991,-0.657577319,0.62324929,6.86,6,1.274157849,1.424081617,0,0
06-268,0.139879086,0.602059991,-0.494850022,0.662757832,6.07,2,0.653212514,0.840560781,0,0
06-270,0.390935107,0.505149978,-0.420216403,0.69019608,6.81,6,1.037426498,1.293875067,0,0
06-271,0.056904851,1.369215857,0.049218023,1.053078443,4.69,6,1.1430148,0.424587749,0,0
06-272,0.193124598,1.120573931,0.079181246,0.954242509,4.9,4,1.037426498,1.063141847,0,0
06-273,0.334453751,0.832508913,-0.096910013,0.819543936,5.88,11,1.294466226,2.34815216,0,0
06-274,0.471291711,1.204119983,-0.13076828,0.653212514,6.42,9,1.298853076,1.904874792,0,0
